feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
pkt_len_kurtosis,packet_length_stats,-0.10768449191929166,-1.1243708091038094,-1.1969312889635866,-1.6993031115181843,1.0166863171845177,0.5023718225545977,2.413184184072629e-226,7.117978874457117e-224,0.6311016251625162,0.6311016251625162,0.26220325032503244,2.413184184072629e-224,True
first_10_pkt_len_mean,early_window,397.60031316623724,499.58675273809524,419.0,557.3,-101.986439571858,-138.29999999999995,4.9868625214451895e-217,6.759267644100542e-206,0.371650295029503,0.628349704970497,-0.25669940994099405,2.493431260722595e-215,True
first_10_bytes_sum,early_window,3955.183518351835,4986.7804,4190.0,5573.0,-1031.5968816481645,-1383.0,4.0898891011479654e-214,5.7395034864753e-209,0.3725227222722272,0.6274772777277728,-0.2549545554555456,1.3632963670493218e-212,True
first_20_bytes_sum,early_window,7243.239823982398,8743.1405,8043.0,8706.5,-1499.9006760176017,-663.5,5.181698362070698e-203,6.249503871910246e-159,0.3759053655365537,0.6240946344634464,-0.24818926892689264,1.2954245905176746e-201,True
first_20_pkt_len_mean,early_window,370.18320145401145,441.49943408677836,402.55,435.75,-71.31623263276691,-33.19999999999999,7.731490107797198e-203,2.0134424872073056e-157,0.3759594209420942,0.6240405790579058,-0.24808115811581155,1.5462980215594395e-201,True
burst_count_ratio_100ms,burst_100ms,0.19301033559923184,0.09732710716614991,0.053763440860215055,0.020600513140558906,0.09568322843308193,0.03316292771965615,1.7042802094506116e-192,7.699070073512873e-180,0.6208031103110311,0.6208031103110311,0.24160622062206216,2.4346860135008737e-191,True
burst_size_mean_100ms,burst_100ms,105.79036936744826,156.61153003645418,18.6,48.54248366013072,-50.82116066900592,-29.94248366013072,1.7042802094506116e-192,7.699070073512873e-180,0.3791968896889689,0.6208031103110311,-0.24160622062206216,2.4346860135008737e-191,True
packet_count,basic_scale_time,1020.8520852085209,1481.5247,267.0,737.0,-460.6726147914791,-470.0,6.499814758631485e-192,6.40011171395097e-193,0.3793846684668467,0.6206153315331533,-0.24123066306630658,7.222016398479428e-191,True
iat_count,iat_stats,1019.8520852085209,1480.5247,266.0,736.0,-460.6726147914791,-470.0,6.499814758631485e-192,6.40011171395097e-193,0.3793846684668467,0.6206153315331533,-0.24123066306630658,7.222016398479428e-191,True
burst_size_max_100ms,burst_100ms,601.2337233723372,922.9617,92.0,332.5,-321.72797662766277,-240.5,9.958349288034903e-192,9.188835721225347e-161,0.37944157415741575,0.6205584258425842,-0.2411168516851685,9.958349288034903e-191,True
iat_lt_050_ratio,iat_thresholds,0.7875276997390681,0.8911544833386424,0.9246323529411765,0.9667495987407106,-0.10362678359957433,-0.04211724579953413,1.162328765066297e-184,3.810083062215016e-195,0.38170804580458045,0.6182919541954195,-0.2365839083908391,1.0566625136966337e-183,True
burst_bytes_mean_100ms,burst_100ms,102769.88050468412,146259.10600748137,12677.6,39246.25,-43489.22550279726,-26568.65,1.2613320045099129e-182,2.2963352429223187e-192,0.3823690319031903,0.6176309680968097,-0.23526193619361935,1.0511100037582608e-181,True
total_bytes,basic_scale_time,982603.0284028403,1345548.4102,189597.0,590801.0,-362945.3817971598,-401204.0,2.8873352414767238e-182,9.283684646841941e-198,0.38248614861486147,0.6175138513851386,-0.23502770277027707,2.0623823153405171e-181,True
log_total_bytes,basic_scale_time,11.589219541929367,12.711510436765113,12.152661320224215,13.289236213905632,-1.1222908948357464,-1.1365748936814164,2.8873352414767238e-182,9.283684646841941e-198,0.38248614861486147,0.6175138513851386,-0.23502770277027707,2.0623823153405171e-181,True
burst_bytes_max_100ms,burst_100ms,598668.2237223722,864804.4518,70051.0,281455.0,-266136.22807762783,-211404.0,3.0901858657163976e-181,9.240204775980542e-176,0.3828224122412241,0.617177587758776,-0.2343551755175518,2.0601239104775984e-180,True
iat_gt_100_ratio,iat_thresholds,0.18443069933666106,0.09160247136350727,0.04609929078014184,0.018242237036174273,0.09282822797315379,0.027857053743967568,7.1237280470799805e-180,1.3142745529940347e-168,0.6167307080708071,0.6167307080708071,0.2334614161416142,4.452330029424988e-179,True
burst_size_std_100ms,burst_100ms,170.58830454249568,263.1136077703954,23.60373052452845,82.57062730631966,-92.52530322789971,-58.96689678179121,6.773978624979337e-178,2.9904813450329407e-159,0.3839465496549655,0.6160534503450346,-0.232106900690069,3.9846933088113745e-177,True
