category,total_features,effective_features,mean_single_feature_auc,max_single_feature_auc,mean_abs_cliffs_delta,effective_ratio
burst_100ms,10,8,0.6061728467846785,0.6208031103110311,0.21234569356935692,0.8
early_window,12,6,0.5930958704203754,0.628349704970497,0.1861917408407507,0.5
basic_scale_time,10,5,0.5794585708570856,0.6206153315331533,0.1589171417141714,0.5
iat_stats,20,5,0.5795159310931093,0.6206153315331533,0.15903186218621865,0.25
iat_thresholds,6,5,0.6087018076807681,0.6182919541954195,0.21740361536153618,0.8333333333333334
packet_length_stats,20,4,0.568268795629563,0.6311016251625162,0.1365375912591259,0.2
time_bins,10,3,0.5508067216721673,0.6130524252425242,0.10161344334433445,0.3
cumulative_shape,4,1,0.5595405778077808,0.6006847534753476,0.1190811556155616,0.25
packet_length_distribution,8,1,0.5579003287828783,0.6141859435943594,0.11580065756575657,0.125
ALL,100,38,0.5779080216021604,0.6311016251625162,0.1558160432043204,0.38
